seq,cctv_seq,output,model_output,level,hdepth,confidence,regdate
46156,3,"3_2024_12_17-16_06_37_100.jpg,3_2024_12_17-16_06_39_200.jpg,3_2024_12_17-16_06_41_300.jpg,3_2024_12_17-16_06_43_400.jpg,3_2024_12_17-16_06_46_500.jpg,3_2024_12_17-16_06_49_600.jpg,3_2024_12_17-16_06_53_700.jpg,3_2024_12_17-16_06_56_800.jpg,3_2024_12_17-16_07_00_900.jpg,3_2024_12_17-16_07_03_1000.jpg",3_2024_12_17-16_06_46_500.jpg,2,0,0.71,2024-12-17 16:07:03.525326
45791,3,"3_2024_12_17-07_48_22_100.jpg,3_2024_12_17-07_48_24_200.jpg,3_2024_12_17-07_48_26_300.jpg,3_2024_12_17-07_48_28_400.jpg,3_2024_12_17-07_48_31_500.jpg,3_2024_12_17-07_48_34_600.jpg,3_2024_12_17-07_48_38_700.jpg,3_2024_12_17-07_48_41_800.jpg,3_2024_12_17-07_48_44_900.jpg,3_2024_12_17-07_48_48_1000.jpg",3_2024_12_17-07_48_28_400.jpg,2,0,0.77,2024-12-17 07:48:48.122847
45266,3,"3_2024_12_16-19_40_55_100.jpg,3_2024_12_16-19_40_57_200.jpg,3_2024_12_16-19_40_59_300.jpg,3_2024_12_16-19_41_02_400.jpg,3_2024_12_16-19_41_05_500.jpg,3_2024_12_16-19_41_08_600.jpg,3_2024_12_16-19_41_12_700.jpg,3_2024_12_16-19_41_15_800.jpg,3_2024_12_16-19_41_19_900.jpg,3_2024_12_16-19_41_22_1000.jpg",3_2024_12_16-19_41_08_600.jpg,2,0,0.79,2024-12-16 19:41:22.428717
45151,3,"3_2024_12_16-17_03_49_100.jpg,3_2024_12_16-17_03_51_200.jpg,3_2024_12_16-17_03_53_300.jpg,3_2024_12_16-17_03_55_400.jpg,3_2024_12_16-17_03_58_500.jpg,3_2024_12_16-17_04_01_600.jpg,3_2024_12_16-17_04_04_700.jpg,3_2024_12_16-17_04_07_800.jpg,3_2024_12_16-17_04_11_900.jpg,3_2024_12_16-17_04_14_1000.jpg",3_2024_12_16-17_03_58_500.jpg,2,0,0.72,2024-12-16 17:04:14.827709
45111,3,"3_2024_12_16-16_08_51_100.jpg,3_2024_12_16-16_08_53_200.jpg,3_2024_12_16-16_08_55_300.jpg,3_2024_12_16-16_08_57_400.jpg,3_2024_12_16-16_09_01_500.jpg,3_2024_12_16-16_09_04_600.jpg,3_2024_12_16-16_09_07_700.jpg,3_2024_12_16-16_09_10_800.jpg,3_2024_12_16-16_09_14_900.jpg,3_2024_12_16-16_09_17_1000.jpg","3_2024_12_16-16_09_04_600.jpg,3_2024_12_16-16_09_14_900.jpg",1.5,0,0.88,2024-12-16 16:09:17.727789
45056,3,"3_2024_12_16-14_52_57_100.jpg,3_2024_12_16-14_52_59_200.jpg,3_2024_12_16-14_53_01_300.jpg,3_2024_12_16-14_53_03_400.jpg,3_2024_12_16-14_53_05_500.jpg,3_2024_12_16-14_53_09_600.jpg,3_2024_12_16-14_53_12_700.jpg,3_2024_12_16-14_53_15_800.jpg,3_2024_12_16-14_53_19_900.jpg,3_2024_12_16-14_53_22_1000.jpg",3_2024_12_16-14_53_03_400.jpg,2,0,0.92,2024-12-16 14:53:22.629438
44953,3,"3_2024_12_16-12_27_51_100.jpg,3_2024_12_16-12_27_53_200.jpg,3_2024_12_16-12_27_55_300.jpg,3_2024_12_16-12_27_57_400.jpg,3_2024_12_16-12_28_00_500.jpg,3_2024_12_16-12_28_03_600.jpg,3_2024_12_16-12_28_06_700.jpg,3_2024_12_16-12_28_10_800.jpg,3_2024_12_16-12_28_13_900.jpg,3_2024_12_16-12_28_16_1000.jpg","3_2024_12_16-12_28_03_600.jpg,3_2024_12_16-12_28_06_700.jpg",1.5,0,0.77,2024-12-16 12:28:17.027002
44392,3,"3_2024_12_15-23_33_22_100.jpg,3_2024_12_15-23_33_23_200.jpg,3_2024_12_15-23_33_25_300.jpg,3_2024_12_15-23_33_28_400.jpg,3_2024_12_15-23_33_31_500.jpg,3_2024_12_15-23_33_34_600.jpg,3_2024_12_15-23_33_38_700.jpg,3_2024_12_15-23_33_41_800.jpg,3_2024_12_15-23_33_44_900.jpg,3_2024_12_15-23_33_48_1000.jpg",3_2024_12_15-23_33_38_700.jpg,2,0,0.76,2024-12-15 23:33:48.319169
43721,3,"3_2024_12_15-08_14_41_100.jpg,3_2024_12_15-08_14_43_200.jpg,3_2024_12_15-08_14_45_300.jpg,3_2024_12_15-08_14_47_400.jpg,3_2024_12_15-08_14_50_500.jpg,3_2024_12_15-08_14_54_600.jpg,3_2024_12_15-08_14_57_700.jpg,3_2024_12_15-08_15_00_800.jpg,3_2024_12_15-08_15_04_900.jpg,3_2024_12_15-08_15_07_1000.jpg",3_2024_12_15-08_14_45_300.jpg,2,0,0.84,2024-12-15 08:15:07.626117
43346,3,"3_2024_12_14-23_39_30_100.jpg,3_2024_12_14-23_39_31_200.jpg,3_2024_12_14-23_39_33_300.jpg,3_2024_12_14-23_39_37_400.jpg,3_2024_12_14-23_39_40_500.jpg,3_2024_12_14-23_39_43_600.jpg,3_2024_12_14-23_39_47_700.jpg,3_2024_12_14-23_39_50_800.jpg,3_2024_12_14-23_39_53_900.jpg,3_2024_12_14-23_39_57_1000.jpg",3_2024_12_14-23_39_47_700.jpg,2,0,0.81,2024-12-14 23:39:57.128955
